"date_litter","stage","weight","species","confidence"
"07/11/2013","14.5",246,"mus","medium"
"17/02/2015",15,250,"mus","medium"
"17/02/2015",15,300,"mus","medium"
"17/02/2015",15,307,"mus","medium"
"17/02/2015",15,308,"mus","medium"
"17/02/2015",15,312,"mus","medium"
"17/02/2015",15,320,"mus","medium"
"17/02/2015",15,327,"mus","medium"
"17/02/2015",15,329,"mus","medium"
"17/02/2015",15,330,"mus","medium"
"17/02/2015",15,331,"mus","medium_low"
"17/02/2015",15,334,"mus","medium"
"17/02/2015",15,335,"mus","medium"
"04/11/2015",15,337,"mus","medium"
"17/02/2015",15,331,"mus","medium_low"
"17/02/2015",15,339,"mus","medium"
"17/02/2015",15,342,"mus","medium"
"17/02/2015",15,345,"mus","medium"
"16/07/2014",16,328,"mus","medium"
"16/07/2014",16,351,"mus","medium"
"16/07/2014",16,370,"mus","medium"
"17/02/2015",15,364,"mus","medium"
"16/07/2014",16,389,"mus","medium"
"16/07/2014",16,390,"mus","medium"
"04/11/2015",15,409,"mus","medium"
"04/11/2015",15,410,"mus","medium"
"16/07/2014",16,410,"mus","medium"
"16/07/2014",16,421,"mus","medium"
"22/11/2013","15.5",413,"mus","medium"
"22/11/2013","15.5",424,"mus","medium"
"04/11/2015",15,423,"mus","medium"
"04/11/2015",15,429,"mus","medium"
"14/11/2013","15.5",439,"mus","medium"
"04/11/2015",15,445,"mus","medium"
"04/11/2015",15,446,"mus","medium"
"04/11/2015",15,448,"mus","medium"
"22/11/2013","15.5",448,"mus","medium"
"22/11/2013","15.5",454,"mus","medium"
"16/07/2014",16,449,"mus","medium"
"16/07/2014",16,450,"mus","medium"
"04/11/2015",15,450,"mus","medium"
"14/11/2013","15.5",452,"mus","medium"
"14/11/2013","15.5",464,"mus","medium"
"16/07/2014",16,482,"mus","medium"
"16/07/2014",16,486,"mus","medium"
"14/11/2013","15.5",505,"mus","medium"
"22/11/2013","15.5",506,"mus","medium"
"22/11/2013","15.5",513,"mus","medium"
"22/11/2013","15.5",530,"mus","medium"
