"date_litter" "stage" "weight" "species" "confidence"
"336" "15/10/2010" 15 370 "mus" "yes"
"337" "06/08/2008" 15 318 "mus" "yes"
"338" "06/08/2008" 15 312 "mus" "yes"
"339" "06/08/2008" 15 333 "mus" "yes"
"340" "06/08/2008" 15 323 "mus" "yes"
"341" "06/08/2008" 15 325 "mus" "yes"
"342" "06/08/2008" 15 327 "mus" "yes"
"343" "06/08/2008" 15 329 "mus" "yes"
"344" "06/08/2008" 15 329 "mus" "yes"
"345" "06/08/2008" 15 327 "mus" "yes"
"346" "06/08/2008" 15 327 "mus" "yes"
"347" "06/08/2008" 15 382 "mus" "yes"
"348" "06/08/2008" 15 305 "mus" "yes"
"349" "06/08/2008" 15 281 "mus" "yes"
"350" "13/06/2008" 15 375 "mus" "yes"
"351" "13/06/2008" 15 379 "mus" "yes"
"352" "13/06/2008" 15 372 "mus" "yes"
"353" "13/06/2008" 15 377 "mus" "yes"
"354" "13/06/2008" 15 373 "mus" "yes"
"355" "13/06/2008" 15 402 "mus" "yes"
"356" "13/06/2008" 15 397 "mus" "yes"
"357" "13/06/2008" 15 396 "mus" "yes"
"358" "13/06/2008" 15 390 "mus" "yes"
"359" "13/06/2008" 15 368 "mus" "yes"
"360" "13/06/2008" 15 405 "mus" "yes"
"361" "13/06/2008" 15 406 "mus" "yes"
"362" "13/06/2008" 15 402 "mus" "yes"
"363" "13/06/2008" 15 330 "mus" "yes"
"364" "20/02/2013" 15.5 439 "mus" "yes"
"365" "20/02/2013" 15.5 564 "mus" "yes"
"366" "20/02/2013" 15.5 493 "mus" "yes"
"367" "20/02/2013" 15.5 547 "mus" "yes"
"368" "14/10/2010" 15.5 573 "mus" "yes"
"369" "14/10/2010" 15.5 566 "mus" "yes"
"370" "14/10/2010" 15.5 581 "mus" "yes"
"371" "14/10/2010" 15.5 557 "mus" "yes"
"372" "14/10/2010" 15.5 552 "mus" "yes"
"373" "14/10/2010" 15.5 548 "mus" "yes"
"374" "14/10/2010" 15.5 519 "mus" "yes"
"375" "14/10/2010" 15.5 482 "mus" "yes"
"376" "14/10/2010" 15.5 454 "mus" "yes"
"377" "21/07/2010" 15.5 598 "mus" "yes"
"378" "21/07/2010" 15.5 627 "mus" "yes"
"379" "21/07/2010" 15.5 652 "mus" "yes"
"380" "21/07/2010" 15.5 658 "mus" "yes"
"381" "21/07/2010" 15.5 689 "mus" "yes"
"382" "21/07/2010" 15.5 675 "mus" "yes"
"383" "21/07/2010" 15.5 878 "mus" "yes"
"384" "21/07/2010" 15.5 752 "mus" "yes"
"385" "03/06/2010" 15.5 527 "mus" "yes"
"386" "03/06/2010" 15.5 525 "mus" "yes"
"387" "03/06/2010" 15.5 525 "mus" "yes"
"388" "03/06/2010" 15.5 521 "mus" "yes"
"389" "03/06/2010" 15.5 533 "mus" "yes"
"390" "03/06/2010" 15.5 570 "mus" "yes"
"391" "03/06/2010" 15.5 561 "mus" "yes"
"392" "03/06/2010" 15.5 511 "mus" "yes"
"393" "03/06/2010" 15.5 512 "mus" "yes"
"394" "03/06/2010" 15.5 506 "mus" "yes"
"395" "03/06/2010" 15.5 614 "mus" "yes"
"396" "26/02/2009" 15.5 464 "mus" "yes"
"397" "26/02/2009" 15.5 461 "mus" "yes"
"398" "26/02/2009" 15.5 457 "mus" "yes"
"399" "26/02/2009" 15.5 473 "mus" "yes"
"400" "26/02/2009" 15.5 490 "mus" "yes"
"401" "26/02/2009" 15.5 495 "mus" "yes"
"402" "26/02/2009" 15.5 492 "mus" "yes"
"403" "26/02/2009" 15.5 495 "mus" "yes"
"404" "26/02/2009" 15.5 425 "mus" "yes"
"405" "26/02/2009" 15.5 442 "mus" "yes"
"406" "26/02/2009" 15.5 514 "mus" "yes"
"407" "26/02/2009" 15.5 502 "mus" "yes"
"408" "26/02/2009" 15.5 551 "mus" "yes"
"409" "25/09/2008" 15.5 602 "mus" "yes"
"410" "25/09/2008" 15.5 544 "mus" "yes"
"411" "25/09/2008" 15.5 538 "mus" "yes"
"412" "25/09/2008" 15.5 532 "mus" "yes"
"413" "25/09/2008" 15.5 533 "mus" "yes"
"414" "25/09/2008" 15.5 618 "mus" "yes"
"415" "25/09/2008" 15.5 575 "mus" "yes"
"416" "25/09/2008" 15.5 500 "mus" "yes"
"417" "25/09/2008" 15.5 564 "mus" "yes"
"418" "25/09/2008" 15.5 520 "mus" "yes"
"419" "15/09/2011" 16 545 "mus" "yes"
"420" "15/09/2011" 16 542 "mus" "yes"
"421" "15/09/2011" 16 545 "mus" "yes"
"422" "15/09/2011" 16 623 "mus" "yes"
"423" "15/09/2011" 16 581 "mus" "yes"
"424" "15/09/2011" 16 588 "mus" "yes"
"425" "15/09/2011" 16 566 "mus" "yes"
"426" "15/09/2011" 16 502 "mus" "yes"
"427" "15/09/2011" 16 515 "mus" "yes"
"428" "15/09/2011" 16 473 "mus" "yes"
"429" "15/09/2011" 16 613 "mus" "yes"
"430" "15/09/2011" 16 604 "mus" "yes"
"431" "21/05/2010" 16 582 "mus" "yes"
"432" "21/05/2010" 16 586 "mus" "yes"
"433" "21/05/2010" 16 590 "mus" "yes"
