sample	tooth	stage	species	rep	timerel	stagenorm	Axis1	Axis2	Axis3	Axis4	Axis5	Axis6	Axis7	Axis8	Axis9	Axis10
mus_AXR_MGOSW	mus_md_16_rep1	md	16	mus	rep1	42.8571428571429	42.8571428571429	79.3234101413619	-13.4934042691526	-9.9309474973252	-10.1433056887945	-12.2355833788234	-39.4579053112782	-13.755611731209	-5.04343473636849	18.236846085301	-5.04315884507733
mus_BGF_MGOSW	mus_md_16_rep2	md	16	mus	rep2	42.8571428571429	42.8571428571429	77.1405089608249	1.47374628689747	13.1020382579595	40.0408577765172	-0.572779500466872	-7.22095246452869	-18.3391803517927	6.3817825003471	21.6039340508953	-4.30333662080997
mus_AXR_MIOSW	mus_md_16.5_rep1	md	16.5	mus	rep1	57.1428571428571	57.1428571428571	77.8533238261369	5.44118226233039	8.37629954744519	-18.4175050799649	3.12668404649535	-36.1869024255419	-8.37304285516249	0.850349284356867	0.977641808716783	-15.6187152002065
mus_BGF_MIOSW	mus_md_16.5_rep2	md	16.5	mus	rep2	57.1428571428571	57.1428571428571	80.2863469473198	9.86540013809812	11.1376563864749	27.3347412518913	11.3599186664505	-10.2370195529015	-29.6972874063189	2.51331185718698	18.0212222464647	-0.452517046304705
mus_AXR_MLOSW	mus_md_17_rep1	md	17	mus	rep1	71.4285714285714	71.4285714285714	76.7311838448326	21.1286713377223	32.298298743479	-19.674550577964	0.0169050146801531	-38.2442536440914	1.78185326602181	1.47241770851575	-8.9407104687176	-7.13194408710515
mus_BGF_MLOSW	mus_md_17_rep2	md	17	mus	rep2	71.4285714285714	71.4285714285714	80.3933009535135	33.2344471302545	21.367488516803	13.9473423211524	17.0308455882155	10.8998817464634	-23.6917521259441	-26.0055676154473	-4.28082206256389	-5.03378045781949
mus_AXR_MNOSW	mus_md_17.5_rep1	md	17.5	mus	rep1	85.7142857142857	85.7142857142857	79.9621908345579	33.2207868318755	14.835355836935	-43.9743219197575	27.2528615977177	-24.8877734508906	0.762896180254775	-14.9992888485003	-11.5258161050089	12.3633333446048
mus_BGF_MNOSW	mus_md_17.5_rep2	md	17.5	mus	rep2	85.7142857142857	85.7142857142857	74.8094385727507	41.7989348043522	49.481170482433	9.44024127692761	23.9072320878591	-9.59710658709437	3.05855256992868	0.470653002510022	-3.93232098014131	6.33668424810871
mus_AXR_MQOSW	mus_md_18_rep1	md	18	mus	rep1	100	100	80.562052032625	50.1240934036594	41.7721313370271	-36.569703425641	-16.966309191693	-17.3535787546484	23.9075762105069	-13.1861240165644	19.6368348201165	7.89209021678606
mus_BGF_MQOSW	mus_md_18_rep2	md	18	mus	rep2	100	100	81.5795413636178	71.1259415365597	41.4282378279828	2.47267712858247	28.8544269384468	26.1746997761359	-10.9354610337377	-40.7758909367414	-8.44030442678653	37.350848690391
mus_AXR_MBOSW	mus_mx_14.5_rep1	mx	14.5	mus	rep1	0	0	78.8826818790756	-54.6584916326397	-28.8933653262598	-0.315769983068993	-6.96328156552103	-9.80373416913491	37.6844828366467	-1.68759355364757	-32.2224237543857	3.32788820640808
mus_BGF_MBOSW	mus_mx_14.5_rep2	mx	14.5	mus	rep2	0	0	75.773827875605	-42.7824779323357	0.700344929159627	53.5753714526596	-10.6364313043104	24.6565082346142	44.5184126341344	5.40711587058942	-25.2563404231226	4.85474233005319
mus_AXR_MDOSW	mus_mx_15_rep1	mx	15	mus	rep1	14.2857142857143	14.2857142857143	88.1628195641097	-43.988538448027	-58.233487171366	-31.046920397076	0.489423881413927	8.10282175325212	11.6682071478867	-9.996467538809	-12.023850175038	1.33562733845384
mus_BGF_MDOSW	mus_mx_15_rep2	mx	15	mus	rep2	14.2857142857143	14.2857142857143	85.4774933404946	-32.1773200661316	-22.1398078247857	38.8186709598748	-15.7593638376847	26.081233427392	5.10014450357408	8.51790769024864	6.18740019942973	13.4350467965368
mus_AXR_MFOSW	mus_mx_15.5_rep1	mx	15.5	mus	rep1	28.5714285714286	28.5714285714286	92.4937845840636	-24.9027262040744	-46.3092854073654	-24.2202220021545	-24.37984576398	27.8201582345678	-1.99764821506431	-3.01624649179388	20.8457558187063	-11.3092782457163
mus_BGF_MFOSW	mus_mx_15.5_rep2	mx	15.5	mus	rep2	28.5714285714286	28.5714285714286	91.0461562811194	-31.5130055325921	-65.635935147356	-19.668520399687	45.0745114837768	51.5362330744255	-19.8856906145036	-7.96614843051426	-3.62184771509327	-7.41598998616517
mus_AXR_MHOSW	mus_mx_16_rep1	mx	16	mus	rep1	42.8571428571429	42.8571428571429	88.3563075551387	-10.0501540137885	-29.1101862004866	-22.4836720735271	-20.1295065021898	28.2236615516625	-6.46259937548177	2.27270282965895	7.85397443205625	-28.4777627661125
mus_BGF_MHOSW	mus_mx_16_rep2	mx	16	mus	rep2	42.8571428571429	42.8571428571429	81.1734132806523	-6.74743730294435	9.55761624071756	27.2202798641456	-13.8507353037895	21.9489403867667	-1.14955871383848	33.2179420476913	12.2860274715012	-16.2488546980645
mus_AXR_MKOSW	mus_mx_16.5_rep1	mx	16.5	mus	rep1	57.1428571428571	57.1428571428571	79.0088198056884	-2.31278563338318	5.87739046111778	-17.0500562478244	-10.6263942196638	-8.92742507497694	7.43125952144109	22.9256534258643	-9.40380810114042	-21.6257426619595
mus_BGF_MKOSW	mus_mx_16.5_rep2	mx	16.5	mus	rep2	57.1428571428571	57.1428571428571	80.3095992580088	1.33132754625452	12.3777423540956	21.043369195807	-3.52182011584925	13.1442107283024	-8.66508328587215	27.2560791463829	1.77168781064559	-10.7725352185125
mus_AXR_MMOSW	mus_mx_17_rep1	mx	17	mus	rep1	71.4285714285714	71.4285714285714	82.504796560357	15.4163747952841	13.1671743377676	-25.8628439944822	-16.0434518747228	-7.6168162844247	3.1092786144597	23.7459495989168	-10.0453604065891	-9.42922973374286
mus_BGF_MMOSW	mus_mx_17_rep2	mx	17	mus	rep2	71.4285714285714	71.4285714285714	83.9479856525528	29.3374719125715	11.1421771137585	8.37053964824514	9.87731850598264	42.5619565740902	-20.3553810609884	-3.79612123988733	-9.66208367377531	-11.8514236268675
mus_AXR_MPOSW	mus_mx_17.5_rep1	mx	17.5	mus	rep1	85.7142857142857	85.7142857142857	87.7469235002172	26.3263835272841	5.25569662941562	-47.1605235946887	-3.76217637435318	11.9976339092221	8.34043794793166	14.6524000047814	-7.19797475430044	-6.40470058215142
mus_BGF_MPOSW	mus_mx_17.5_rep2	mx	17.5	mus	rep2	85.7142857142857	85.7142857142857	79.3664437013205	29.4328111776672	34.0526368437238	-4.01798685422683	17.9667605039337	2.9448262401914	2.23323247172616	28.3049351826929	-9.52254790862415	5.65660441955863
mus_AXR_MROSW	mus_mx_18_rep1	mx	18	mus	rep1	100	100	85.4398829304913	41.3920115704622	31.5762168818166	-38.5050770733245	-30.7271814324286	9.79547650245902	22.1171659130988	7.99213331135913	12.4207004847581	-2.05354816713271
mus_BGF_MROSW	mus_mx_18_rep2	mx	18	mus	rep2	100	100	84.7131893006991	50.1676908891153	29.3873158347234	-7.41513426184753	13.383626663567	34.1184259144723	-0.686706460684397	10.7545025061939	-9.92148620501371	19.8378521991787
